OrderID,OrderDate,CustomerID,Region,ProductCategory,Sales,Profit
1173,2023-01-01,C059,South,Electronics,727.53,99.47
1023,2023-01-04,C039,West,Electronics,592.12,138.95
1087,2023-01-04,C041,South,Furniture,697.19,113.99
1238,2023-01-07,C024,East,Furniture,423.88,88.22
1091,2023-01-10,C018,West,Electronics,818.45,208.58
1145,2023-01-13,C025,East,Electronics,999.97,227.92
1174,2023-01-13,C051,West,Electronics,635.57,182.95
1078,2023-01-22,C036,South,Furniture,315.52,40.05
1068,2023-01-25,C009,South,Electronics,857.29,214.37
1130,2023-01-25,C024,North,Electronics,1042.28,211.5
1153,2023-02-03,C054,West,Electronics,545.54,89.3
1203,2023-02-06,C044,East,Furniture,537.95,105.42
1066,2023-02-09,C016,West,Office Supplies,76.14,11.44
1102,2023-02-09,C042,North,Electronics,1115.11,346.61
1004,2023-02-12,C037,West,Electronics,894.5,156.55
1045,2023-02-12,C044,West,Furniture,307.61,36.84
1105,2023-02-12,C060,West,Office Supplies,230.87,28.37
1125,2023-02-12,C019,East,Office Supplies,279.9,22.51
1181,2023-02-12,C038,South,Electronics,606.31,137.53
1062,2023-02-21,C006,South,Furniture,416.76,48.66
1008,2023-03-02,C044,West,Electronics,841.53,187.41
1031,2023-03-02,C059,South,Electronics,691.42,206.45
1059,2023-03-02,C005,West,Office Supplies,71.27,6.7
1035,2023-03-05,C028,South,Furniture,748.57,108.92
1117,2023-03-11,C005,North,Electronics,1157.83,267.69
1178,2023-03-20,C046,West,Electronics,740.17,167.29
1232,2023-03-20,C031,West,Office Supplies,92.9,14.45
1149,2023-03-23,C018,North,Office Supplies,47.74,5.24
1209,2023-03-23,C006,South,Electronics,955.76,234.04
1216,2023-03-23,C049,South,Electronics,599.73,142.96
1217,2023-03-23,C046,East,Electronics,791.54,187.74
1201,2023-03-26,C049,North,Office Supplies,88.03,8.54
1221,2023-03-29,C060,West,Office Supplies,292.19,34.6
1143,2023-04-07,C035,West,Electronics,1197.5,386.71
1155,2023-04-07,C016,East,Furniture,415.68,77.91
1080,2023-04-13,C026,East,Electronics,777.26,215.82
1166,2023-04-13,C008,West,Furniture,158.45,21.81
1202,2023-04-16,C017,South,Electronics,797.09,179.25
1160,2023-04-19,C033,South,Furniture,574.28,97.38
1027,2023-04-22,C037,South,Electronics,537.86,106.92
1110,2023-04-28,C052,East,Office Supplies,245.27,19.83
1123,2023-05-01,C041,East,Office Supplies,193.81,35.61
1148,2023-05-01,C029,East,Office Supplies,182.51,17.93
1183,2023-05-04,C051,South,Electronics,820.55,162.81
1097,2023-05-10,C025,South,Electronics,1119.66,283.47
1219,2023-05-10,C031,South,Furniture,519.16,55.42
1126,2023-05-13,C048,East,Electronics,1187.87,255.35
1212,2023-05-13,C041,East,Electronics,548.11,134.19
1104,2023-05-22,C007,East,Furniture,311.52,36.14
1156,2023-05-22,C041,South,Office Supplies,37.32,6.38
1038,2023-05-25,C037,South,Office Supplies,130.03,12.61
1084,2023-05-28,C032,North,Electronics,1150.67,225.35
1050,2023-05-31,C055,West,Electronics,1031.34,263.27
1057,2023-05-31,C038,West,Office Supplies,296.36,18.98
1191,2023-06-03,C033,West,Electronics,932.03,136.42
1022,2023-06-06,C012,North,Electronics,906.72,196.25
1070,2023-06-06,C059,East,Office Supplies,117.39,16.77
1116,2023-06-06,C012,East,Office Supplies,154.74,27.83
1089,2023-06-09,C040,South,Furniture,256.38,42.5
1092,2023-06-09,C040,South,Electronics,713.96,147.76
1052,2023-06-12,C055,East,Office Supplies,188.45,16.12
1034,2023-06-21,C002,East,Electronics,1098.86,251.15
1040,2023-06-24,C033,South,Electronics,770.03,211.51
1065,2023-06-27,C048,North,Furniture,712.58,90.45
1158,2023-07-03,C033,West,Electronics,415.77,72.69
1213,2023-07-03,C037,South,Furniture,502.24,82.97
1136,2023-07-06,C011,North,Electronics,512.69,81.97
1187,2023-07-06,C027,South,Electronics,843.34,220.25
1054,2023-07-09,C056,North,Office Supplies,106.62,11.98
1127,2023-07-12,C016,East,Office Supplies,256.5,31.35
1210,2023-07-15,C035,North,Furniture,384.63,33.54
1129,2023-07-30,C020,East,Furniture,409.35,58.82
1205,2023-07-30,C030,East,Furniture,198.84,29.55
1006,2023-08-02,C051,North,Electronics,816.25,155.14
1152,2023-08-02,C002,West,Office Supplies,71.91,3.6
1060,2023-08-05,C052,West,Electronics,549.25,110.13
1013,2023-08-11,C032,East,Electronics,570.37,149.63
1223,2023-08-11,C052,East,Electronics,1075.64,277.01
1082,2023-08-29,C019,South,Office Supplies,254.27,28.45
1139,2023-08-29,C036,West,Electronics,689.92,202.81
1114,2023-09-01,C001,West,Office Supplies,97.99,19.12
1072,2023-09-07,C016,East,Office Supplies,61.01,7.44
1220,2023-09-07,C035,North,Electronics,1139.52,298.7
1208,2023-09-13,C053,East,Office Supplies,245.84,23.97
1015,2023-09-19,C024,West,Electronics,749.98,156.91
1024,2023-09-19,C002,East,Office Supplies,79.11,6.52
1131,2023-09-19,C054,South,Office Supplies,31.25,2.48
1037,2023-09-22,C023,West,Office Supplies,232.03,22.92
